name;element1;element2;elment3;elment4;elment5;elment6;elment7;elment8;elment9;elment10;sum
Air_Canada_Airbus_A330_C_plane31.svg;8;6;8;1;0;0;0;0;0;0;23
Air_Canada_Beech_1900D_plane44.svg;1;1;0;0;0;0;0;0;0;0;2
Air_Canada_Boeing_767-300ER_v2_plane32.svg;8;6;8;2;0;0;0;0;0;0;24
Air_Canada_Boeing_777-200LR_77L_v3_plane34.svg;8;10;8;4;1;0;0;0;0;0;31
Air_Canada_Boeing_777-300ER_Three_Class_v4_plane36.svg;10;10;10;2;1;0;0;0;0;0;33
Air_Canada_Boeing_787-8_plane37.svg;7;7;8;2;1;0;0;0;0;0;25
Air_Canada_Boeing_787-900_plane31.svg;8;6;8;2;1;0;0;0;0;0;25
Air_Canada_Canadair_CRJ_plane41.svg;2;1;4;0;0;0;0;0;0;0;7
Air_Canada_Canadair_CRJ_705_plane42.svg;2;2;6;2;0;0;0;0;0;0;12
Air_Canada_CRJ_900_plane43.svg;2;3;6;2;0;0;0;0;0;0;13
Air_Canada_Dash_81_plane46.svg;1;4;0;0;0;0;0;0;0;0;5
Air_Canada_Dash_83_plane47.svg;1;2;5;0;0;0;0;0;0;0;8
Air_Canada_Embraer_175_plane39.svg;2;2;4;1;0;0;0;0;0;0;9
Air_Canada_Embraer_190_plane40.svg;2;2;6;1;0;0;0;0;0;0;11
Air_Canada_Q400_B_plane45.svg;1;1;4;0;0;0;0;0;0;0;6
Air_Canada_Rouge_A319_Premium_plane33.svg;3;2;6;1;0;0;0;0;0;0;12
Air_Canada_Rouge_Airbus_A321_plane37.svg;4;2;8;2;0;0;0;0;0;0;16
Air_Canada_Rouge_Boeing_767-300ER_new_plane33.svg;6;4;8;2;0;0;0;0;0;0;20
Air_Caraibes_Airbus_A330-200_plane48.svg;7;7;8;0;0;0;0;0;0;0;22
Air_Caraibes_Airbus_A330-200_V2_plane49.svg;7;7;8;0;0;0;0;0;0;0;22
Air_Caraibes_Airbus_A330-300_plane50.svg;8;7;8;0;0;0;0;0;0;0;23
Air_Caraibes_Airbus_A330-300_V2_plane51.svg;7;6;8;0;0;0;0;0;0;0;21
Air_Caraibes_Airbus_A350-900_plane52.svg;9;8;8;0;0;0;0;0;0;0;25
Air_Caraibes_ATR_72-500_plane53.svg;1;4;0;0;0;0;0;0;0;0;5
Air_Caraibes_ATR_72-600_plane54.svg;1;4;0;0;0;0;0;0;0;0;5
KLM_Embraer_ERJ-190_plane582.svg;2;3;2;0;0;0;0;0;0;0;7
Korean_Air_Airbus_380-800_V2_plane587;13;12;3;1;0;0;0;0;0;0;29
Korean_Air_Airbus_A330-200_plane583;9;5;0;0;0;0;0;0;0;0;14
Korean_Air_Airbus_A330-300_plane584;9;7;0;0;0;0;0;0;0;0;16
